expression,reading,meaning,tags
焼ける,やける,"to burn, to be roasted",JLPT JLPT_N4
君,きみ,you (informal for men),JLPT JLPT_N4
冷える,ひえる,"to grow cold, to cool down",JLPT JLPT_N4
点く,つく,"to be started, to be switched on",JLPT JLPT_N4
この間,このあいだ,"the other day, recently",Genki Genki_Ln.16 JLPT JLPT_N4
かっこう,格好,"appearance, manner, shape, form, posture",JLPT JLPT_N4
かまう,,"to mind, to care about, to be concerned about",JLPT JLPT_N4
続ける,つづける,"to continue, to keep up",Genki Genki_Ln.21 JLPT JLPT_N4
落す,おとす,"to drop, to lose",JLPT JLPT_N4
明日,あす,tomorrow,JLPT JLPT_N4
出発,しゅっぱつする,departure,JLPT JLPT_N4
拝見,はいけんする,"(humble) (polite) seeing, look at",JLPT JLPT_N4
割れる,われる,to break,JLPT JLPT_N4
背中,せなか,back (of body),JLPT JLPT_N4
新聞社,しんぶんしゃ,newspaper company,JLPT JLPT_N4
いじめる,いじめる,"to bully, to torment",Genki Genki_Ln.21 JLPT JLPT_N4
回る、回す,まわる、まわす,"to go around, to revolve",JLPT JLPT_N4
～君,～くん,"Mr. (junior) ~, master ~",JLPT JLPT_N4
おっしゃる,おっしゃる,-- honorific expression for いう --,Genki Genki_Ln.19 JLPT JLPT_N4
眠い,ねむい,"sleepy, drowsy",Genki Genki_Ln.10 JLPT JLPT_N4
濡れる,ぬれる,to get wet,JLPT JLPT_N4
倒れる,たおれる,"to collapse, to break down",JLPT JLPT_N4
スーパー (マーケット),スーパー (マーケット),supermarket,JLPT JLPT_N4
アクセサリー,アクセサリー,accessory,JLPT JLPT_N4
考える,かんがえる,to think (about); to consider,Genki Genki_Ln.18 JLPT JLPT_N4
向かう,むかう,"to face, to go towards",JLPT JLPT_N4
自由,じゆう,freedom,Genki Genki_Ln.22 JLPT JLPT_N4
仕方,しかた,way (of doing something),JLPT JLPT_N4
首,くび,neck,JLPT JLPT_N4
程,ほど,"degree, extent",JLPT JLPT_N4
代わり,かわり,"substitute, replacement",JLPT JLPT_N4
失敗,しっぱい,"failure, mistake",JLPT JLPT_N4
工業,こうぎょう,(manufacturing) industry,JLPT JLPT_N4
移る,うつる,to move (from a house); to transfer (from a department); to shift,JLPT JLPT_N4
スーツケース,スーツケース,suitcase,JLPT JLPT_N4
ひげ,ひげ,beard,Genki Genki_Ln.17 JLPT JLPT_N4
研究室,けんきゅうしつ,the professor's office; laboratory,Intermediate_Japanese_Ln.3 JLPT JLPT_N4
工場,こうじょう,factory,Genki Genki_Ln.21 Intermediate_Japanese_Ln.15 JLPT JLPT_N4
紹介,しょうかい,an introduction,JLPT JLPT_N4
けれど; けれども,けれど; けれども,"but, although",JLPT JLPT_N4
舟,ふね,"ship, boat",JLPT JLPT_N4
動く,うごく,to move,JLPT JLPT_N4
～(に) ついて,～(に) ついて,"about, concerning",JLPT JLPT_N4
コンサート,コンサート,concert,Genki Genki_Ln.9 JLPT JLPT_N4
虫,むし,insect,JLPT JLPT_N4
優しい,やさしい,"kind (person), gentle (person), easy (problem)",Genki Genki_Ln.5 JLPT JLPT_N4
コンピュータ; コンピューター,コンピュータ; コンピューター,computer,JLPT JLPT_N4
植える,うえる,to plant,JLPT JLPT_N4
両方,りょうほう,"both sides, both parties",JLPT JLPT_N4
汚れる,よごれる,to become dirty,JLPT JLPT_N4
水泳,すいえい,swimming,JLPT JLPT_N4
経験,けいけんする,experience,JLPT JLPT_N4
勝つ,かつ,to win,JLPT JLPT_N4
砂,すな,sand,JLPT JLPT_N4
警察,けいさつ,police; police station,Genki Genki_Ln.21 JLPT JLPT_N4
取り替える,とりかえる,"to exchange, to replace",JLPT JLPT_N4
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",Genki Genki_Ln.6 Intermediate_Japanese_Ln.2 JLPT JLPT_N4
簡単,かんたん,simple,JLPT JLPT_N4
参る,まいる,humble expression for 行く and 来る,Genki Genki_Ln.20 Intermediate_Japanese_Ln.6 JLPT JLPT_N4
全然,ぜんぜん,"not at all; wholly, entirely",JLPT JLPT_N4
特別,とくべつ,special,JLPT JLPT_N4
復習,ふくしゅう,"review (of lessons), revision",JLPT JLPT_N4
間に合う,まにあう,to be in time for,JLPT JLPT_N4
役に立つ,やくにたつ,"to be helpful, to be useful",Intermediate_Japanese_Ln.4 JLPT JLPT_N4
もうすぐ,もうすぐ,very soon; in a few moments; days,Genki Genki_Ln.12 JLPT JLPT_N4
真中,まんなか,"middle, center",JLPT JLPT_N4
戻る,もどる,to return (v.i.); to come back,Genki Genki_Ln.20 Intermediate_Japanese_Ln.8 JLPT JLPT_N4
研究,けんきゅう,"study, research, investigation",JLPT JLPT_N4
ケーキ,ケーキ,cake,Genki Genki_Ln.13 JLPT JLPT_N4
草,くさ,grass,JLPT JLPT_N4
込む,こむ,to be crowded,JLPT JLPT_N4
この頃,このごろ,"these days, nowadays",Genki Genki_Ln.10 JLPT JLPT_N4
訪ねる,たずねる,to visit,JLPT JLPT_N4
下げる,さげる,to lower (v.t.); to hang,Intermediate_Japanese_Ln.2 JLPT JLPT_N4
花見,はなみ,cherry-blossom viewing,JLPT JLPT_N4
途中,とちゅう,"on the way, midway",JLPT JLPT_N4
入院,にゅういんする,hospitalization,JLPT JLPT_N4
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",JLPT JLPT_N4
別れる,わかれる,"to part from, to separate",JLPT JLPT_N4
～町,～ちょう,the town of ~,JLPT JLPT_N4
安全,あんぜん,"safety, security",JLPT JLPT_N4
看護婦,かんごふ,(female) nurse,JLPT JLPT_N4
見物,けんぶつ,sightseeing,JLPT JLPT_N4
相談,そうだんする,consultation,JLPT JLPT_N4
ガソリンスタンド,ガソリンスタンド,"gas station, service station",JLPT JLPT_N4
テニス,テニス,tennis,Genki Genki_Ln.3 JLPT JLPT_N4
眠る,ねむる,to sleep,JLPT JLPT_N4
上がる,あがる,"to rise, to go up",JLPT JLPT_N4
翻訳,ほんやく,translation,Intermediate_Japanese_Ln.8 JLPT JLPT_N4
食事,しょくじする,meal,JLPT JLPT_N4
おかげ,お陰,thanks or owing to,JLPT JLPT_N4
娘,むすめ,daughter (humble),JLPT JLPT_N4
湯,ゆ,hot water,JLPT JLPT_N4
競争,きょうそう,"competition, contest",JLPT JLPT_N4
会議,かいぎ,business meeting; conference,Genki Genki_Ln.21 JLPT JLPT_N4
湖,みずうみ,lake,Genki Genki_Ln.11 Intermediate_Japanese_Ln.4 JLPT JLPT_N4
集まる,あつまる,"to gather (v.i.), to collect",Intermediate_Japanese_Ln.7 JLPT JLPT_N4
～にくい,～にくい,difficult to do ~,JLPT JLPT_N4
生活,せいかつする,"living, life; to live",JLPT JLPT_N4
糸,いと,thread,JLPT JLPT_N4
関係,かんけい,"relation(ship), connection",JLPT JLPT_N4
ピアノ,ピアノ,piano,Genki Genki_Ln.9 JLPT JLPT_N4
～目,～め,"number ~ sequence, ~nd; ~th",JLPT JLPT_N4
番組,ばんぐみ,broadcast program,Genki Genki_Ln.15 JLPT JLPT_N4
急,きゅう,"urgent, sudden; steep",JLPT JLPT_N4
棚,たな,"shelves, rack",JLPT JLPT_N4
木綿,もめん,cotton,JLPT JLPT_N4
輸出,ゆしゅつする,export,JLPT JLPT_N4
タイプ,タイプ,"type, style",JLPT JLPT_N4
すり,すり,pickpocket,JLPT JLPT_N4
うれしい,嬉しい,to be happy; to be glad,Genki Genki_Ln.13 JLPT JLPT_N4
アルコール,アルコール,alcohol,JLPT JLPT_N4
ソフト,ソフト,soft; soft hat; software,JLPT JLPT_N4
神社,じんじゃ,Shinto shrine,JLPT JLPT_N4
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much",Intermediate_Japanese_Ln.4 JLPT JLPT_N4
楽しみ,たのしみ,"pleasure, joy",JLPT JLPT_N4
趣味,しゅみ,hobby; pastime,Genki Genki_Ln.20 JLPT JLPT_N4
電報,でんぽう,telegram,JLPT JLPT_N4
家内,かない,(one's own) wife,Intermediate_Japanese_Ln.7 JLPT JLPT_N4
指,ゆび,finger,JLPT JLPT_N4
これから,これから,"from now on, after this",JLPT JLPT_N4
たまに,たまに,occasionally,JLPT JLPT_N4
社会,しゃかい,society,JLPT JLPT_N4expression,reading,meaning,tags
作法,さほう,"manners, etiquette, propriety",JLPT JLPT_2 JLPT_3
様々,さまざま,"varied, various",JLPT JLPT_2 JLPT_3
冷ます,さます,"to cool, to let cool",JLPT JLPT_2 JLPT_3
覚ます,さます,to awaken,JLPT JLPT_2 JLPT_3
冷める,さめる,"to become cool, to wear off",JLPT JLPT_2 JLPT_3
覚める,さめる,"to wake, to wake up",JLPT JLPT_2 JLPT_3
左右,さゆう,left and right; influence,JLPT JLPT_2 JLPT_3
皿,さら,"plate, dish",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki
更に,さらに,"furthermore, moreover",JLPT JLPT_2 JLPT_3
去る,さる,"to leave, to go away",JLPT JLPT_2 JLPT_3
猿,さる,monkey,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3
参加,さんか,participation,JLPT JLPT_2 JLPT_3
参考,さんこう,"reference, consultation",JLPT JLPT_2 JLPT_3
賛成,さんせい,"approval, agreement",JLPT JLPT_2 JLPT_3
酸性,さんせい,acidity,JLPT JLPT_2 JLPT_3
酸素,さんそ,oxygen,JLPT JLPT_2 JLPT_3
氏,し,"family name, lineage",JLPT JLPT_2 JLPT_3
詩,し,poem; poetry,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
幸せ,しあわせ,"happiness, blessing",JLPT JLPT_2 JLPT_3
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki
ジェット機,ジェットき,jet plane,JLPT JLPT_2 JLPT_3
四角,しかく,square,JLPT JLPT_2 JLPT_3
直に,じかに,"immediately, readily, directly",JLPT JLPT_2 JLPT_3
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2
四季,しき,four seasons,JLPT JLPT_2 JLPT_3
直,じき,"immediately, soon, shortly",JLPT JLPT_2 JLPT_3
時期,じき,"time, season, period",JLPT JLPT_2 JLPT_3
支給,しきゅう,"payment, allowance",JLPT JLPT_2 JLPT_3
至急,しきゅう,"urgent, pressing",JLPT JLPT_2 JLPT_3
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT JLPT_2 JLPT_3
刺激,しげき,"stimulus, impetus, incentive",JLPT JLPT_2 JLPT_3
資源,しげん,resources,JLPT JLPT_2 JLPT_3
事件,じけん,"event, affair, incident",JLPT JLPT_2 JLPT_3
時刻,じこく,"time, hour",JLPT JLPT_2 JLPT_3
自殺,じさつ,suicide,JLPT JLPT_2 JLPT_3
事実,じじつ,"fact, truth, reality",JLPT JLPT_2 JLPT_3
支出,ししゅつ,"expenditure, expenses",JLPT JLPT_2 JLPT_3
事情,じじょう,"circumstances, situation, reasons",JLPT JLPT_2 JLPT_3
詩人,しじん,poet,JLPT JLPT_2 JLPT_3
自身,じしん,oneself,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
沈む,しずむ,to sink; to feel depressed,JLPT JLPT_2 JLPT_3
自然,しぜん,"nature, spontaneous",JLPT JLPT_2 JLPT_3
思想,しそう,"thought, idea",JLPT JLPT_2 JLPT_3
舌,した,tongue,JLPT JLPT_2 JLPT_3
次第,しだい,order; circumstances; immediate(ly),JLPT JLPT_2 JLPT_3
従う,したがう,"to abide (by the rules), to obey",JLPT JLPT_2 JLPT_3
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3
親しい,したしい,"intimate, close (e.g., friend)",JLPT JLPT_2 JLPT_3
質,しつ,"quality, nature (of person)",JLPT JLPT_2 JLPT_3
失業,しつぎょう,unemployment,JLPT JLPT_2 JLPT_3
湿気,しっけ,"moisture, humidity, dampness",JLPT JLPT_2 JLPT_3
実験,じっけん,lab work; experiment,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
実現,じつげん,"implementation, materialization, realization",JLPT JLPT_2 JLPT_3
実行,じっこう,"practice, execution (e.g., program), realization",JLPT JLPT_2 JLPT_3
実際,じっさい,in fact; in actuality,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
実施,じっし,"enforcement, carry out, operation",JLPT JLPT_2 JLPT_3
湿度,しつど,humidity,JLPT JLPT_2 JLPT_3
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3
実に,じつに,"indeed, truly, surely",JLPT JLPT_2 JLPT_3
実は,じつは,actually; in fact,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
失望,しつぼう,"disappointment, despair",JLPT JLPT_2 JLPT_3
実力,じつりょく,ability; force,JLPT JLPT_2 JLPT_3
支店,してん,branch store (office),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki
指導,しどう,"leadership, guidance, coaching",JLPT JLPT_2 JLPT_3
自動,じどう,"automatic, self-motion",JLPT JLPT_2 JLPT_3
児童,じどう,"children, juvenile",JLPT JLPT_2 JLPT_3
品,しな,"thing, article, goods",JLPT JLPT_2 JLPT_3
支配,しはい,"rule, control, direction",JLPT JLPT_2 JLPT_3
芝居,しばい,"play, drama",JLPT JLPT_2 JLPT_3
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3
芝生,しばふ,lawn,JLPT JLPT_2 JLPT_3
支払,しはらい,payment,JLPT JLPT_2 JLPT_3
支払う,しはらう,to pay,JLPT JLPT_2 JLPT_3
死亡,しぼう,death,JLPT JLPT_2 JLPT_3
資本,しほん,"funds, capital",JLPT JLPT_2 JLPT_3
姉妹,しまい,sisters,JLPT JLPT_2 JLPT_3
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3
自慢,じまん,"pride, boast",JLPT JLPT_2 JLPT_3
地味,じみ,"quiet, plain, conservative",JLPT JLPT_2 JLPT_3
示す,しめす,"to show, to indicate",JLPT JLPT_2 JLPT_3
占める,しめる,to take up; to account for,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
湿る,しめる,"to be wet, to be damp",JLPT JLPT_2 JLPT_3
下,しも,"under, below, beneath",JLPT JLPT_2 JLPT_3
霜,しも,frost,JLPT JLPT_2 JLPT_3
借金,しゃっきん,"debt, loan, liabilities",JLPT JLPT_2 JLPT_3
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
週,しゅう,week,JLPT JLPT_2 JLPT_3
州,しゅう,"state, province",JLPT JLPT_2 JLPT_3
銃,じゅう,gun,JLPT JLPT_2 JLPT_3
周囲,しゅうい,"surroundings, circumference, environs",JLPT JLPT_2 JLPT_3
収穫,しゅうかく,"harvest, crop, ingathering",JLPT JLPT_2 JLPT_3
宗教,しゅうきょう,religion,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
重視,じゅうし,"importance, stress",JLPT JLPT_2 JLPT_3
就職,しゅうしょく,finding employment,JLPT JLPT_2 JLPT_3
ジュース,ジュース,"juice, soft drink; deuce",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
修正,しゅうせい,"amendment, correction",JLPT JLPT_2 JLPT_3
重体,じゅうたい,"seriously ill, critical state",JLPT JLPT_2 JLPT_3
渋滞,じゅうたい,"congestion (e.g., traffic), delay",JLPT JLPT_2 JLPT_3
重大,じゅうだい,"serious, important",JLPT JLPT_2 JLPT_3
住宅,じゅうたく,"resident, housing",JLPT JLPT_2 JLPT_3
集団,しゅうだん,"group, mass",JLPT JLPT_2 JLPT_3
集中,しゅうちゅう,"concentration, focusing the mind",JLPT JLPT_2 JLPT_3
収入,しゅうにゅう,"income, revenue",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
住民,じゅうみん,"inhabitants, residents",JLPT JLPT_2 JLPT_3
重要,じゅうよう,"important, essential",JLPT JLPT_2 JLPT_3
修理,しゅうり,"repairing, mending",JLPT JLPT_2 JLPT_3
主義,しゅぎ,"doctrine, cause, principle",JLPT JLPT_2 JLPT_3
宿泊,しゅくはく,lodging,JLPT JLPT_2 JLPT_3
手術,しゅじゅつ,surgical operation,JLPT JLPT_2 JLPT_3
首相,しゅしょう,Prime Minister,JLPT JLPT_2 JLPT_3
手段,しゅだん,"means, way, measure",JLPT JLPT_2 JLPT_3
主張,しゅちょう,"claim, insistence, assertion",JLPT JLPT_2 JLPT_3
出場,しゅつじょう,participation,JLPT JLPT_2 JLPT_3
出身,しゅっしん,come from,JLPT JLPT_2 JLPT_3
出版,しゅっぱん,publication,JLPT JLPT_2 JLPT_3
首都,しゅと,capital city,JLPT JLPT_2 JLPT_3
主婦,しゅふ,housewife,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki
主要,しゅよう,"chief, main",JLPT JLPT_2 JLPT_3
需要,じゅよう,demand,JLPT JLPT_2 JLPT_3
種類,しゅるい,"variety, kind",JLPT JLPT_2 JLPT_3
順,じゅん,"order, turn",JLPT JLPT_2 JLPT_3
瞬間,しゅんかん,"moment, second",JLPT JLPT_2 JLPT_3
順調,じゅんちょう,doing well,JLPT JLPT_2 JLPT_3
順番,じゅんばん,"turn (in line), order of things",JLPT JLPT_2 JLPT_3
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
小,しょう,small,JLPT JLPT_2 JLPT_3
章,しょう,"chapter, section; medal",JLPT JLPT_2 JLPT_3
賞,しょう,"prize, award",JLPT JLPT_2 JLPT_3
上,じょう,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3
障害,しょうがい,"obstacle, impediment",JLPT JLPT_2 JLPT_3
奨学金,しょうがくきん,scholarship,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki
乗客,じょうきゃく,passenger,JLPT JLPT_2 JLPT_3
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT JLPT_2 JLPT_3
状況,じょうきょう,"state of affairs, situation",JLPT JLPT_2 JLPT_3
条件,じょうけん,"conditions, terms",JLPT JLPT_2 JLPT_3
正午,しょうご,"noon, mid-day",JLPT JLPT_2 JLPT_3
正直,しょうじき,"honesty, integrity, frankness",JLPT JLPT_2 JLPT_3
常識,じょうしき,common sense,JLPT JLPT_2 JLPT_3
少女,しょうじょ,young girl,JLPT JLPT_2 JLPT_3
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki
症状,しょうじょう,"symptoms, condition",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
生じる,しょうじる,"to occur, to arise, to be generated",JLPT JLPT_2 JLPT_3
状態,じょうたい,"condition, situation",JLPT JLPT_2 JLPT_3
上達,じょうたつ,"improvement, advance",JLPT JLPT_2 JLPT_3
冗談,じょうだん,a joke,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
上等,じょうとう,"first class, very good",JLPT JLPT_2 JLPT_3
衝突,しょうとつ,"collision, conflict",JLPT JLPT_2 JLPT_3
商人,しょうにん,"trader, shopkeeper, merchant",JLPT JLPT_2 JLPT_3
承認,しょうにん,"recognition, approval",JLPT JLPT_2 JLPT_3
少年,しょうねん,"boys, juveniles",JLPT JLPT_2 JLPT_3
商売,しょうばい,"trade, business, commerce",JLPT JLPT_2 JLPT_3
消費,しょうひ,"consumption, expenditure",JLPT JLPT_2 JLPT_3
商品,しょうひん,"commodity, merchandise",JLPT JLPT_2 JLPT_3
賞品,しょうひん,"prize, trophy",JLPT JLPT_2 JLPT_3
消防,しょうぼう,"fire fighting, fire department",JLPT JLPT_2 JLPT_3
情報,じょうほう,"information, (military) intelligence",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
証明,しょうめい,"proof, verification",JLPT JLPT_2 JLPT_3
省略,しょうりゃく,"omission, abbreviation, abridgment",JLPT JLPT_2 JLPT_3
女王,じょおう,queen,JLPT JLPT_2 JLPT_3
職,しょく,employment,JLPT JLPT_2 JLPT_3
職業,しょくぎょう,"occupation, business",JLPT JLPT_2 JLPT_3
食卓,しょくたく,dining table,JLPT JLPT_2 JLPT_3
食品,しょくひん,foodstuff,JLPT JLPT_2 JLPT_3
植物,しょくぶつ,"plant, vegetation",JLPT JLPT_2 JLPT_3
食物,しょくもつ,"food, foodstuff",JLPT JLPT_2 JLPT_3
食欲,しょくよく,appetite (for food),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
食料,しょくりょう,food,JLPT JLPT_2 JLPT_3
食糧,しょくりょう,"provisions, rations",JLPT JLPT_2 JLPT_3
書斎,しょさい,"study, den",JLPT JLPT_2 JLPT_3
女子,じょし,"woman, girl",JLPT JLPT_2 JLPT_3
助手,じょしゅ,"helper, assistant",JLPT JLPT_2 JLPT_3
徐々に,じょじょに,"slowly, little by little",JLPT JLPT_2 JLPT_3
署名,しょめい,signature,JLPT JLPT_2 JLPT_3
書物,しょもつ,books,JLPT JLPT_2 JLPT_3
女優,じょゆう,actress,JLPT JLPT_2 JLPT_3
処理,しょり,"processing, treatment, disposition",JLPT JLPT_2 JLPT_3
書類,しょるい,"documents, official papers",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki
知らせ,しらせ,notice,JLPT JLPT_2 JLPT_3
尻,しり,"buttocks, bottom",JLPT JLPT_2 JLPT_3
知合い,しりあい,acquaintance,JLPT JLPT_2 JLPT_3
印,しるし,mark; symbol; evidence,JLPT JLPT_2 JLPT_3
城,しろ,castle,JLPT JLPT_2 JLPT_3
進学,しんがく,going on to university,JLPT JLPT_2 JLPT_3
神経,しんけい,"nerve, sensitivity",JLPT JLPT_2 JLPT_3
真剣,しんけん,"seriousness, earnestness",JLPT JLPT_2 JLPT_3
信仰,しんこう,"(religious) faith, belief",JLPT JLPT_2 JLPT_3
信号,しんごう,"traffic lights, signal, semaphore",JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki
人工,じんこう,"artificial, man made, human work,",JLPT JLPT_2 JLPT_3
深刻,しんこく,serious,JLPT JLPT_2 JLPT_3
診察,しんさつ,medical examination (of a patient),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
人種,じんしゅ,race (of people),JLPT JLPT_2 JLPT_3
信じる,しんじる,to believe,JLPT JLPT_2 JLPT_3
人生,じんせい,"(human) life (e.g., conception to death)",JLPT JLPT_2 JLPT_3
親戚,しんせき,relative(s),Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki
新鮮,しんせん,fresh,JLPT JLPT_2 JLPT_3
心臓,しんぞう,heart,JLPT JLPT_2 JLPT_3
身体,しんたい,the body,JLPT JLPT_2 JLPT_3
身長,しんちょう,"height (of body), stature",JLPT JLPT_2 JLPT_3
慎重,しんちょう,"careful, prudent, cautious",JLPT JLPT_2 JLPT_3
審判,しんぱん,"umpire, referee, judgment",JLPT JLPT_2 JLPT_3
人物,じんぶつ,"character, personality, talented man",JLPT JLPT_2 JLPT_3
進歩,しんぽ,"improvement, progress, development",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
親友,しんゆう,"close friend, buddy",JLPT JLPT_2 JLPT_3
信用,しんよう,"confidence, dependence",JLPT JLPT_2 JLPT_3
信頼,しんらい,"reliance, trust, confidence",JLPT JLPT_2 JLPT_3
心理,しんり,mentality,JLPT JLPT_2 JLPT_3
人類,じんるい,"mankind, humanity",JLPT JLPT_2 JLPT_3
巣,す,"nest, breeding place",JLPT JLPT_2 JLPT_3
酢,す,vinegar,JLPT JLPT_2 JLPT_3
図,ず,"figure, drawing, illustration",JLPT JLPT_2 JLPT_3
水準,すいじゅん,"level, standard",JLPT JLPT_2 JLPT_3
推薦,すいせん,recommendation,JLPT JLPT_2 JLPT_3
スイッチ,スイッチ,switch,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki
睡眠,すいみん,sleep,JLPT JLPT_2 JLPT_3
数,すう,"number, figure",JLPT JLPT_2 JLPT_3
数字,すうじ,"numeral, figure",JLPT JLPT_2 JLPT_3
スープ,スープ,(Western) soup,JLPT JLPT_2 JLPT_3
末,すえ,"the end of, powder",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
姿,すがた,"figure, shape, appearance",JLPT JLPT_2 JLPT_3
スキー,スキー,ski,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki
救う,すくう,"to rescue from, to help out of",JLPT JLPT_2 JLPT_3
すくなくとも,すくなくとも,at least,JLPT JLPT_2 JLPT_3
優れる,すぐれる,"to surpass, to outstrip, to excel",JLPT JLPT_2 JLPT_3
スケート,スケート,"skate(s), skating",JLPT JLPT_2 JLPT_3
スケジュール,スケジュール,schedule,JLPT JLPT_2 JLPT_3
少しも,すこしも,"anything of, not one bit",JLPT JLPT_2 JLPT_3
過ごす,すごす,"to pass, to spend (time)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
筋,すじ,"muscle, string, line",JLPT JLPT_2 JLPT_3
進める,すすめる,"to advance, to promote, to hasten",JLPT JLPT_2 JLPT_3
勧める,すすめる,"to urge (someone) to do (something), to recommend",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
スター,スター,star,JLPT JLPT_2 JLPT_3
スタイル,スタイル,style,JLPT JLPT_2 JLPT_3
スタンド,スタンド,stand,JLPT JLPT_2 JLPT_3
頭痛,ずつう,headache,JLPT JLPT_2 JLPT_3
ずっと,ずっと,for a long time; all the time; consecutively,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki
すっぱい,すっぱい,"sour, acid",JLPT JLPT_2 JLPT_3
すてき,すてき,"lovely, great",JLPT JLPT_2 JLPT_3
既に,すでに,already (same as もう),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
すなわち,すなわち,"that is, namely, e.g.",JLPT JLPT_2 JLPT_3
スピーチ,スピーチ,speech,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
全て,すべて,"all, the whole, entirely",JLPT JLPT_2 JLPT_3
済ませる,すませる,to be finished,JLPT JLPT_2 JLPT_3
角,すみ,corner,JLPT JLPT_2 JLPT_3
墨,すみ,ink,JLPT JLPT_2 JLPT_3
すみません (かん),すみません (かん),"sorry, excuse me",JLPT JLPT_2 JLPT_3
澄む,すむ,"to clear (e.g., weather), to become transparent",JLPT JLPT_2 JLPT_3
清む,すむ,"to clear (e.g., weather), to become transparent",JLPT JLPT_2 JLPT_3
刷る,する,to print,JLPT JLPT_2 JLPT_3
為る,する,"to do, to attempt",JLPT JLPT_2 JLPT_3
鋭い,するどい,"pointed, sharp",JLPT JLPT_2 JLPT_3
すれ違う,すれちがう,to pass by one another,JLPT JLPT_2 JLPT_3
ずれる,ずれる,"move, off the point",JLPT JLPT_2 JLPT_3
正,せい,"(logical) true, regular",JLPT JLPT_2 JLPT_3
生,せい,birth,JLPT JLPT_2 JLPT_3
性,せい,"sex, gender",JLPT JLPT_2 JLPT_3
